Questionnaire,Question_R,LongWording,Question_OneWord
apathy,apathy_Q1,1. I feel sad or upset when I hear bad news.,EmotApathy_BadNews
apathy,apathy_Q2,2. I start conversations with random people.,SocApathy_Conversations
apathy,apathy_Q3,3. I enjoy doing things with people I have just met.,SocApathy_NewPeople
apathy,apathy_Q4,4. I suggest activities for me and my friends to do.,SocApathy_PlanActivity
apathy,apathy_Q5,5. I make decisions firmly and without hesitation.,BehavApathy_DecisionMaking
apathy,apathy_Q6,"6. After making a decision, I will wonder if I have made the wrong choice.",EmotApathy_Regret
apathy,apathy_Q7,"7. Based on the last two weeks, I will say I care deeply about how my loved ones think of me.",EmotApathy_Caring
apathy,apathy_Q8,8. I go out with friends on a weekly basis.,SocApathy_DoActivity
apathy,apathy_Q9,"9. When I decide to do something, I am able to make an effort easily.",BehavApathy_MakeEffort
apathy,apathy_Q10,10. I don't like to laze around.,BehavApathy_NotLazy
apathy,apathy_Q11,"11. I get things done when they need to be done, without requiring reminders from others.",BehavApathy_Completing
apathy,apathy_Q12,"12. When I decide to do something, I am motivated to see it through to the end.",BehavApathy_Completing2
apathy,apathy_Q13,13. I feel awful if I say something insensitive.,EmotApathy_RegretSocial
apathy,apathy_Q14,14. I start conversations without being prompted.,SocApathy_StartConversation
apathy,apathy_Q15,"15. When I have something I need to do, I do it straightaway so it is out of the way.",BehavApathy_Initiate
apathy,apathy_Q16,16. I feel bad when I hear an acquaintance has an accident or illness.,EmotApathy_Empathy
apathy,apathy_Q17,17. I enjoy choosing what to do from a range of activities.,SocApathy_ChooseActivity
apathy,apathy_Q18,"18. If I realise I have been unpleasant to someone, I will feel terribly guilty afterwards.",EmotApathy_RegretSocial2
alcohol,alcohol_Q1,1. How often do you have a drink containing alcohol?,Frequency
alcohol,alcohol_Q2,2. How many standard drinks containing alcohol do you have on a typical day when drinking?,Amount
alcohol,alcohol_Q3,3. How often do you have six or more drinks on one occasion?,Binge
alcohol,alcohol_Q4,"4. During the past year, how often have you found that you were not able to stop drinking once you had started?",UnableStop
alcohol,alcohol_Q5,"5. During the past year, how often have you failed to do what was normally expected of you because of drinking?",Impairment
alcohol,alcohol_Q6,"6. During the past year, how often have you needed a drink in the morning to get yourself going after a heavy drinking session?",Urge
alcohol,alcohol_Q7,"7. During the past year, how often have you had a feeling of guilt or remorse after drinking?",Guilt
alcohol,alcohol_Q8,"8. During the past year, have you been unable to remember what happened the night before because you had been drinking?",MemoryImpairment
alcohol,alcohol_Q9,9. Have you or someone else been injured as a result of your drinking?,Injury
alcohol,alcohol_Q10,"10. Has a relative or friend, doctor or other health worker been concerned about your drinking or suggested you cut down?",ConcernedOthers
